index,log_radius_threshold_code
0,960
1,963
2,966
3,969
4,972
5,975
6,978
7,981
8,984
9,987
10,990
11,993
12,996
13,999
14,1002
15,1005
16,1008
17,1011
18,1014
19,1017
20,1020
21,1023
22,1026
23,1029
24,1032
25,1035
26,1038
27,1041
28,1044
29,1047
30,1050
31,1053
32,1056
33,1059
34,1062
35,1065
36,1068
37,1071
38,1074
39,1077
40,1080
41,1083
42,1086
43,1089
44,1092
45,1095
46,1098
47,1101
48,1104
49,1107
50,1110
51,1113
52,1116
53,1119
54,1122
55,1125
56,1128
57,1131
58,1134
59,1137
60,1140
61,1143
62,1146
63,1149
64,1152
65,1149
66,1146
67,1143
68,1140
69,1137
70,1134
71,1131
72,1128
73,1125
74,1122
75,1119
76,1116
77,1113
78,1110
79,1107
80,1104
81,1101
82,1098
83,1095
84,1092
85,1089
86,1086
87,1083
88,1080
89,1077
90,1074
91,1071
92,1068
93,1065
94,1062
95,1059
96,1056
97,1053
98,1050
99,1047
100,1044
101,1041
102,1038
103,1035
104,1032
105,1029
106,1026
107,1023
108,1020
109,1017
110,1014
111,1011
112,1008
113,1005
114,1002
115,999
116,996
117,993
118,990
119,987
120,984
121,981
122,978
123,975
124,972
125,969
126,966
127,963
