n,time_s,x_q24,p_q24,reference_x_m,word_hex,occupancy,sigma_delta_bit,chi,rho,theta,z,phi,depth,phase,lut,kappa,cycle
0,0.00000000,16777216,0,1.000000000000,2A22D3EF039080B3,1,1,0,674,361,-68,57,1,0,22,0,3
1,0.00781250,16776192,-131072,0.999969482577,2F0689F1F90101A3,1,0,0,752,836,-57,912,2,0,52,0,3
2,0.01562500,16774144,-262136,0.999877932171,3C1191E5C4A18063,1,1,0,961,200,-105,74,3,0,12,0,3
3,0.02343750,16771072,-393184,0.999725354369,3066C7F6751201B3,1,1,0,774,867,-39,849,4,0,54,0,3
4,0.03125000,16766977,-524208,0.999511758485,3C319DE905528063,1,1,0,963,206,-92,85,5,0,12,0,3
5,0.03906250,16761858,-655200,0.999237157555,30C6C5F5F52301B3,1,1,0,780,866,-41,850,6,0,54,0,3
6,0.04687500,16755716,-786152,0.998901568338,3C319DE905438063,1,1,0,963,206,-92,84,7,0,12,0,3
7,0.05468750,16748551,-917056,0.998505011319,30C6C7F5F52401B3,1,1,0,780,867,-41,850,8,0,54,0,3
8,0.06250000,16740364,-1047904,0.998047510700,3C499DE945448263,1,1,0,964,1230,-91,84,9,0,76,0,3
9,0.07031250,16731155,-1178688,0.997529094405,3DBE2815FD35038B,1,1,0,987,1812,87,979,10,0,113,0,3
10,0.07812500,16720925,-1309400,0.996949794076,4E112A054B15804B,0,1,0,1249,149,21,177,11,0,9,0,3
11,0.08593750,16709675,-1440032,0.996309645070,364EFFF6B2A603BB,1,1,0,868,1919,-38,810,12,0,119,0,3
12,0.09375000,16697405,-1570576,0.995608686458,4A310E0E0D368043,0,1,0,1187,135,56,211,13,0,8,0,3
13,0.10156250,16684116,-1701024,0.994846961024,362EF7F2330703BB,1,1,0,866,1915,-56,816,14,0,119,0,3
14,0.10937500,16669808,-1831369,0.994024515258,4A090A0E4CF78243,0,1,0,1184,1157,57,207,15,0,72,0,3
15,0.11718750,16654483,-1961602,0.993141399360,430E58123B180393,0,1,0,1072,1836,72,945,16,0,114,0,3
16,0.12500000,16638141,-2091715,0.992197667229,4ED9360A4AC8824B,0,1,0,1261,1179,41,172,17,0,73,0,3
17,0.13281250,16620784,-2221700,0.991193376467,43AE6416FAD9039B,0,1,0,1082,1842,91,941,18,0,115,0,3
18,0.14062500,16602413,-2351550,0.990128588370,4F393A0A4AE9824B,0,1,0,1267,1181,41,174,19,0,73,0,3
19,0.14843750,16583028,-2481256,0.989003367927,43CE6416FACA039B,0,1,0,1084,1842,91,940,20,0,115,0,3
20,0.15625000,16562631,-2610811,0.987817783816,4F413A0A4AEA804B,0,1,0,1268,157,41,174,21,0,9,0,3
21,0.16406250,16541223,-2740207,0.986571908399,36D703F6F2BB01C3,1,1,0,877,897,-37,811,22,0,56,0,3
22,0.17187500,16518806,-2869435,0.985265817718,3D69ADEE451B826B,1,1,0,982,1238,-71,81,23,0,77,0,3
23,0.17968750,16495380,-2998488,0.983899591490,3E3E2C163D4C038B,1,1,0,995,1814,88,980,24,0,113,0,3
24,0.18750000,16470948,-3127358,0.982473313101,4E512A058B0C804B,0,1,0,1253,149,22,176,25,0,9,0,3
25,0.19531250,16445510,-3256037,0.980987069606,364EFFF6B2AD03BB,1,1,0,868,1919,-38,810,26,0,119,0,3
26,0.20312500,16419068,-3384518,0.979440951716,4A490E0E0D3D864B,0,1,0,1188,1159,56,211,27,1,73,0,3
27,0.21093750,16391624,-3512792,0.977835053798,431658123B0E059B,1,1,0,1073,812,72,944,28,1,51,0,3
28,0.21875000,16363180,-3640852,0.976169473869,41F1D5EA02BE847B,0,1,0,1055,234,-88,43,29,1,15,0,3
29,0.22656250,16333737,-3768689,0.974444313586,31CED7FAF50F07BB,1,1,0,796,1899,-21,848,30,1,119,0,3
30,0.23437500,16303297,-3896296,0.972659678245,49D102098D6F844B,0,1,0,1181,129,38,214,31,1,9,0,3
31,0.24218750,16271862,-4023666,0.970815676770,49DEFE098D60044F,0,1,0,1181,1919,38,214,0,1,9,1,3
32,0.25000000,16239434,-4150790,0.968912421711,4C6DDE2A00D08497,0,1,0,1222,1775,168,13,1,1,18,1,3
33,0.25781250,16206015,-4277661,0.966950029231,4579F6271121058F,0,1,0,1111,1275,156,274,2,1,49,1,3
34,0.26562500,16171607,-4404270,0.964928619105,45AE400E7CD1847F,0,1,0,1114,1824,57,973,3,1,15,1,3
35,0.27343750,16136212,-4530611,0.962848314709,4F79380AC9F205BF,0,1,0,1271,1180,43,159,4,1,55,1,3
